tv_name,year,url
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-18-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-19-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-20-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-21-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-22-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-25-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-26-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-27-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-02-28-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-01-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-04-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-05-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-06-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-07-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-08-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-11-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-12-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-13-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-14-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-15-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-18-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-19-02.shtml
amc,2002,http://tvmegasite.net/transcripts/amc/older/2002/amc-trans-03-20-02.shtml
